name,price,set_ID,rating
UFO Action Pack,,54: ,3.7
Building Ideas Book,,697: ,3.7
Penguin,,1739: ,3.7
Dinosaur Babies,,1781: ,3.7
Discovery Station,"$50.00 ,15.5c,Box,Retail - limited,Normal",1782: ,3.7
Primo Rattle,"2,$1.00 ,50.0c,Polybag,Promotional,Normal",1783: ,3.7
Flying Duck,,1824: ,3.7
Racing Car,,1825: ,3.7
Bird? Boat? Plane?,,1826: ,3.7
Helicopter,,1827: ,3.7
Medium Bulk Bucket,,1867: ,3.7
Jumbo Building Bag,"80,$20.00 ,25.0c,Normal",2003: ,3.7
Large Bulk Box,,2009: ,3.7
Baby Walker,"14,$30.00 ,214.3c,Normal",2010: ,3.7
Stack 'n' Learn Starter Set,"6,$4.00 ,66.7c,Normal",2081: ,3.7
Medium Stack 'n' Learn Set,"8,$8.00 ,100.0c,Normal",2083: ,3.7
Frederick Frog,"13,$10.00 ,76.9c,Normal",2085: ,3.7
Polly Parrot Storage Bird,"18,$15.00 ,83.3c,Canister,Retail,Normal",2087: ,3.7
Stack 'n' Learn Gift Set,"23,$20.00 ,87.0c,Normal",2089: ,3.7
The Ladybird Rattle,,2093: ,3.7
Cozy Duck,,2094: ,3.7
Roll 'n' Play Ball,"2,$5.00 ,250.0c,Normal",2095: ,3.7
Stack-a-Mouse,"6,$9.00 ,150.0c,Normal",2096: ,3.7
Caterpillar and Friends,"3,$10.00 ,333.3c,Normal",2097: ,3.7
Bathtime Boat,"2,$10.00 ,500.0c,Normal",2098: ,3.7
The Shape Sorter,"$15.00 ,150.0c,Normal",2099: ,5.0
Stomper,,2121: ,5.0
Bob,,2122: ,5.0
Spinner,,2123: ,5.0
Green Bucket,,2124: ,5.0
Large Bucket,,2125: ,5.0
Train Cars,"$69.50 ,18.4c,Box,Retail - limited,Normal",2126: ,5.0
Nanas,,2127: ,5.0
Blast-Off Dragster,"$7.00 ,11.1c,Box,Retail,Normal",2129: ,5.0
Aeroplane,,2135: ,5.0
Aeroplane,,2136: ,5.0
Swamp Boat,,2137: ,5.0
Helicopter,,2138: ,5.0
Boat,,2139: ,5.0
Dragon Fly,"$28.00 ,15.3c,Box,Promotional (Airline),Normal",2147: ,5.0
LEGO Truck,"$11.00 ,10.5c,Box,Retail - limited,Normal",2148: ,5.0
Color Line Container Lorry,,2149: ,5.0
Robo Raider,"$12.00 ,8.8c,Box,Retail - limited,Normal",2151: ,5.0
Robo Raptor,"$20.00 ,9.0c,Box,Retail - limited,Normal",2152: ,5.0
Robo Stalker,"$30.00 ,10.7c,Box,Retail - limited,Normal",2153: ,5.0
Robo Master,"366,$36.00 ,9.8c,Box,Retail - limited,Normal",2154: ,5.0
Crystal Scavenger,"$15.00 ,13.6c,Box,Retail - limited,Normal",2160: ,5.0
Aqua Dozer,"$25.00 ,18.4c,Box,Retail - limited,Normal",2161: ,5.0
Hydro Reef Wrecker,"$40.00 ,13.9c,Box,Retail - limited,Normal",2162: ,5.0
Toucan,,2163: ,5.0
Whale,,2164: ,3.0
Rhinocerous,,2165: ,3.0
Elephant,,2166: ,3.0
Penguin,,2167: ,3.0
Rattle,,2168: ,3.0
Infomaniac,,2181: ,3.0
XL Bulk Bucket,,2184: ,3.0
Freestyle Set,,2186: ,3.0
Freestyle Set,,2187: ,3.0
Freestyle Set,,2188: ,3.0
Pony Set,,2189: ,3.0
JUBEL 3+ BULK,,2195: ,3.0
Large Bulk Bucket,,2199: ,3.0
Basic Set,,2241: ,3.0
Extra Bricks (S),,2242: ,3.0
Farmhouse Bucket,,2245: ,3.0
Large Basic Set,,2246: ,3.0
Extra Bricks (M),,2247: ,3.0
Basic Set,,2249: ,3.0
Horse 'n' Home,,2251: ,3.0
Basic Cannister Set,,2252: ,3.0
Happy Gardener,"$4.00 ,40.0c,Normal",2261: ,3.0
Basic Set,,2262: ,3.0
Medium Bucket,,2264: ,3.0
Large Puppy Clearpack,,2265: ,3.0
Extra Large Value Bucket,"$20.00 ,22.0c,Normal",2266: ,4.0
School Bus,,2581: ,4.0
Mother & Baby,"$7.00 ,100.0c,Normal",2601: ,4.0
Dinosaurs Family Home,"$18.00 ,66.7c,Normal",2602: ,4.0
Dinosaur Tub,"70,$20.00 ,28.6c,Tub,Retail - limited,Normal",2603: ,4.0
Dino World,"$70.00 ,120.7c,Normal",2604: ,4.0
Dinosaur Park,"$40.00 ,95.2c,Normal",2605: ,4.0
Dump Truck,"$8.75 ,145.8c,Normal",2606: ,4.0
Speed Car,,2607: ,4.0
Dinghy,,2684: ,4.0
Harbour,"$52.00 ,110.6c,Normal",2687: ,4.0
Pony Stables,"$20.00 ,48.8c,Normal",2761: ,4.0
Family Fun Playground,"46,$27.00 ,58.7c,Normal",2762: ,4.0
Pony Club,,2805: ,4.0
Dino Mini Set,"$3.00 ,75.0c,Normal",2806: ,4.0
Girl,,2840: ,4.0
Boy,,2841: ,4.0
Girl,,2842: ,4.0
Doggy,,2844: ,4.0
Indian Chief,"$0.00 ,0.0c,Box,Promotional,Normal",2845: ,4.0
Indian Kayak,"$0.00 ,0.0c,Box,Promotional,Normal",2846: ,4.0
Flyer,,2847: ,4.0
Flying Machine,,2848: ,4.0
Helicopter,,2849: ,4.0
Medium Dino Bucket,,2851: ,4.0
Large Dino Bucket,,2852: ,5.0
Paradisa Barbeque,,2870: ,5.0
Diver and Shark,,2871: ,5.0
Witch and Fireplace,,2872: ,5.0
Christmas Set,,2873: ,5.0
Christmas Set,,2874: ,5.0
Mouse,,2875: ,5.0
Christmas Set,,2876: ,5.0
Snowman,,2877: ,5.0
Santa Claus,"$2.00 ,12.5c,Polybag,Promotional,Normal",2878: ,5.0
Open-Top Jeep,,2880: ,5.0
Parking Gate Attendant,,2881: ,5.0
Speedboat,,2882: ,5.0
Boat,,2883: ,5.0
Microlight,,2884: ,5.0
Ice Cream Seller,,2885: ,5.0
Formula 1 Racing Car,"$2.00 ,8.0c,Box,Promotional,Normal",2886: ,5.0
Petrol Station Attendant and Pump,,2887: ,5.0
Beauty Studio,"31,$16.50 ,53.2c,Normal",3200: ,5.0
Living Room,,3201: ,5.0
Laundry Room,,3202: ,5.0
Dressing Table,,3203: ,5.0
Ashley's Miniature Garden,,3240: ,5.0
Nursery,"$22.00 ,40.7c,Normal",3241: ,5.0
Bathroom,,3242: ,5.0
Kitchen,"$26.50 ,28.8c,Normal",3243: ,5.0
Dream Cottage,"$76.00 ,63.3c,Normal",3270: ,5.0
The Big Family House,,3290: ,5.0
Value Bucket Medium,"322,$10.00 ,3.1c,Normal",4055: ,5.0
XL Value Bucket,,4128: ,5.0
Trial Size Bag,"27,$1.50 ,5.6c,Normal",4129: ,5.0
"Freestyle Clearpack (S), 3+","$15.00 ,11.5c,Normal",4137: ,5.0
Value Set with Carry Bag,"400,$20.00 ,5.0c,Normal",4138: ,5.0
"Freestyle Bucket, 3+","$23.00 ,9.2c,Bucket,Retail,Normal",4139: ,5.0
Large Clearpack,"220,$20.00 ,9.1c,Normal",4148: ,5.0
Trial Size Bag 5+,"34,$1.50 ,4.4c,Normal",4157: ,5.0
Building Set 5+,"128,$6.00 ,4.7c,Normal",4158: ,5.0
Funimal,,4168: ,5.0
"Freestyle Gift Item, 3+",,4169: ,5.0
"Duplo Start / Stop Rail, Single Rail, Change of Direction Switch",,5024: ,5.0
"Toolo Loader, Hook and Turntable","3,$5.50 ,183.3c,Polybag,LEGO exclusive,Normal",5026: ,5.0
Angle Bricks Assorted,"$4.00 ,20.0c,Polybag,LEGO exclusive,Normal",5201: ,5.0
"Angle Beams, Red and Blue","$4.00 ,50.0c,Polybag,LEGO exclusive,Normal",5202: ,5.0
