name,price,set_ID,rating
"Brick Separator, Orange","1,$2.49, 2.49€ | ,249.0c, 249.0c,Polybag,Retail - limited,USA: Dec 11, UK/EU: Dec 11,Normal",630: ,4.3
LEGO Duck,,2011: ,4.3
Stormer 2.0,"$7.99 | ,25.8c,USA: Dec 10, UK/EU: Dec 10,Normal",2063: ,4.3
Furno 2.0,"$7.99 | ,26.6c,USA: Dec 10, UK/EU: Dec 10,Normal",2065: ,4.3
Evo 2.0,"$7.99 | ,25.8c,USA: Dec 10, UK/EU: Dec 10,Normal",2067: ,4.3
Nex 2.0,"$7.99 | ,25.8c,USA: Dec 10, UK/EU: Dec 10,Normal",2068: ,4.3
Kai,"$9.99 | ,52.6c,Blister pack,Retail,USA: Jan 11, UK/EU: Dec 10,Normal",2111: ,4.3
Cole,"$9.99 | ,52.6c,Blister pack,Retail,USA: Jan 11, UK/EU: Dec 10,Normal",2112: ,4.3
Zane,"$9.99 | ,52.6c,USA: Jan 11, UK/EU: Dec 10,Normal",2113: ,4.3
Chopov,"$9.99 | ,50.0c,USA: Jan 11, UK/EU: Dec 10,Normal",2114: ,4.3
Bonezai,"$9.99 | ,47.6c,USA: Jan 11, UK/EU: Dec 10,Normal",2115: ,4.3
Krazi,"$9.99 | ,45.4c,Blister pack,Retail,USA: Jan 11, UK/EU: Dec 10,Normal",2116: ,4.3
Surge 2.0,"$7.99 | ,26.6c,USA: Dec 10, UK/EU: Dec 10,Normal",2141: ,4.3
Breez 2.0,"$7.99 | ,27.6c,USA: Dec 10, UK/EU: Dec 10,Normal",2142: ,4.3
Rocka 3.0,"$7.99 | ,26.6c,USA: Aug 11, UK/EU: Aug 11,Normal",2143: ,4.3
Nex 3.0,"$7.99 | ,27.6c,USA: Aug 11, UK/EU: Aug 11,Normal",2144: ,4.3
Stormer 3.0,"$7.99 | ,25.8c,USA: Aug 11, UK/EU: Aug 11,Normal",2145: ,4.3
Cole DX,"$9.99 | ,47.6c,USA: Mar 11, UK/EU: Mar 11,Normal",2170: ,4.3
Zane DX,"$9.99 | ,45.4c,Blister pack,Retail,USA: Mar 11, UK/EU: Mar 11,Normal",2171: ,4.3
Nya,"$9.99 | ,47.6c,USA: Mar 11, UK/EU: Mar 11,Normal",2172: ,4.3
Nuckal,"$9.99 | ,38.4c,USA: Mar 11, UK/EU: Mar 11,Normal",2173: ,4.3
Kruncha,"$9.99 | ,41.6c,Blister pack,Retail,USA: Aug 11, UK/EU: Aug 11,Normal",2174: ,4.3
Wyplash,"$9.99 | ,43.4c,USA: Aug 11, UK/EU: Aug 11,Normal",2175: ,4.3
