piece,set_ID
2,1166: 
13,1385: 
27,1431: 
26,1432: 
26,1433: 
25,1434: 
13,1441: 
,1729: 
,1730: 
,1731: 
,1732: 
,1733: 
,1734: 
43,3223: 
9,3284: 
9,3285: 
9,3286: 
399,3287: 
6,3380: 
5,3381: 
4,3382: 
6,3383: 
4,3384: 
6,3385: 
4,3386: 
4,3387: 
4,3388: 
5,3389: 
5,3390: 
8,3391: 
12,3420: 
2,3422: 
53,3427: 
39,3428: 
82,3429: 
71,3430: 
186,3431: 
451,3432: 
491,3433: 
70,3440: 
1,3500: 
16,3511: 
21,3512: 
23,3513: 
30,3514: 
52,3515: 
10,3517: 
11,3518: 
10,3519: 
1,3529: 
1,3530: 
69,3535: 
82,3536: 
88,3537: 
195,3538: 
44,3540: 
45,3541: 
46,3542: 
45,3543: 
154,3544: 
152,3545: 
19,3548: 
17,3549: 
17,3550: 
33,3557: 
33,3558: 
40,3559: 
3,3560: 
3,3561: 
13,3562: 
3,3563: 
3,3564: 
3,3565: 
3,3566: 
3,3567: 
47,3584: 
227,3585: 
9,3586: 
15,3587: 
18,3588: 
22,3589: 
24,3590: 
11,3655: 
32,3656: 
35,3657: 
1,3696: 
1,3697: 
1,3698: 
1,3699: 
3,3700: 
1000,4013: 
500,4014: 
55,4023: 
344,4024: 
100,4026: 
100,4027: 
500,4028: 
500,4029: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
3,4032: 
30,4038: 
90,4039: 
514,4047: 
554,4048: 
244,4090: 
320,4093: 
255,4094: 
345,4095: 
215,4096: 
229,4097: 
197,4098: 
325,4099: 
299,4100: 
492,4101: 
1000,4278: 
1000,4279: 
21,4300: 
24,4301: 
705,4400: 
110,4401: 
547,4402: 
702,4403: 
770,4404: 
1305,4405: 
46,4475: 
40,4476: 
98,4477: 
170,4478: 
230,4479: 
231,4480: 
681,4481: 
658,4482: 
1068,4483: 
76,4484: 
72,4485: 
76,4486: 
53,4487: 
87,4488: 
98,4489: 
102,4490: 
99,4491: 
336,4511: 
548,4512: 
344,4513: 
177,4514: 
11,4651: 
25,4652: 
27,4653: 
42,4654: 
97,4655: 
139,4657: 
120,4719: 
209,4720: 
191,4850: 
218,4851: 
360,4852: 
15,5012: 
25,5013: 
28,5014: 
15,5015: 
17,5016: 
36,5017: 
16,5018: 
110,5211: 
139,5212: 
140,5213: 
100,5230: 
6,5437: 
,5441: 
,5443: 
,5446: 
,5449: 
,5450: 
,5451: 
4,5494: 
51,5856: 
93,5857: 
173,5858: 
51,5859: 
101,5861: 
161,5862: 
32,5872: 
19,5873: 
52,7030: 
88,7031: 
154,7032: 
181,7033: 
261,7034: 
422,7035: 
129,7212: 
24,7221: 
28,7222: 
36,7223: 
34,7224: 
42,7409: 
64,7410: 
87,7411: 
107,7412: 
94,7413: 
86,7414: 
120,7415: 
177,7416: 
292,7417: 
5,7418: 
,7418: 
732,7419: 
69,7420: 
33,7422: 
30,7423: 
28,7424: 
12,7435: 
10,7436: 
23,7437: 
36,7439: 
53,7441: 
1,7446: 
1,7449: 
1,7450: 
,7455: 
,7456: 
,7457: 
,7458: 
,7459: 
,7460: 
,7461: 
,7462: 
162,7467: 
178,7468: 
418,7469: 
828,7470: 
870,7471: 
32,7501: 
,7502: 
24,7503: 
78,7507: 
78,7508: 
70,7509: 
89,7510: 
94,7511: 
94,7512: 
281,7513: 
131,7517: 
111,7518: 
111,7519: 
104,7520: 
30,7521: 
63,7522: 
200,7836: 
30,8350: 
220,8353: 
101,8354: 
88,8355: 
116,8356: 
107,8357: 
26,8358: 
27,8359: 
24,8360: 
322,8363: 
623,8364: 
196,8365: 
429,8366: 
92,8370: 
98,8371: 
98,8374: 
257,8376: 
848,8438: 
70,8441: 
183,8451: 
214,8453: 
639,8454: 
704,8455: 
41,8573: 
41,8574: 
41,8575: 
41,8576: 
41,8577: 
41,8578: 
3,8580: 
25,8581: 
25,8582: 
25,8583: 
25,8584: 
25,8585: 
25,8586: 
45,8587: 
45,8588: 
45,8589: 
45,8590: 
45,8591: 
45,8592: 
199,8593: 
172,8594: 
221,8595: 
200,8596: 
,8599: 
,8600: 
4,9017: 
4,9019: 
4,9026: 
5,9031: 
610,9306: 
631,9320: 
,9402: 
,9405: 
,9409: 
,9412: 
1110,9649: 
318,9665: 
729,9684: 
,9743: 
219,9785: 
217,9786: 
,9788: 
833,9793: 
831,9794: 
,9809: 
,9817: 
973,10021: 
664,10027: 
453,10029: 
616,10041: 
35,10042: 
2,10052: 
25,10071: 
56,10072: 
130,10073: 
68,10074: 
37,10076: 
55,10077: 
More,10078: 
42,10079: 
33,10080: 
54,10090: 
20,10121: 
698,10123: 
670,10124: 
59,10127: 
327,10128: 
1457,10129: 
399,10201: 
,14642: 
,14643: 
,14680: 
,14681: 
,14682: 
,14683: 
,14684: 
,65182: 
,65221: 
,65277: 
,65295: 
,65296: 
,65297: 
,65355: 
,65407: 
,65418: 
,65448: 
,65451: 
,65456: 
,65705: 
,850252: 
,850352: 
,850356: 
,850691: 
,850698: 
,4182615: 
,4193350: 
,4193351: 
,4193352: 
,4193353: 
,4193354: 
,4193355: 
,4193358: 
,4202113: 
,4202458: 
,4202509: 
,4202562: 
,4202580: 
,4202596: 
,4202599: 
,4202677: 
,4202678: 
,4202679: 
,4202681: 
,4202699: 
,4202705: 
,4204330: 
,4204333: 
,4207901: 
,4212659: 
,4212662: 
,4212666: 
,4213160: 
,4224458: 
,4224461: 
,4224635: 
,4224648: 
