name,price,set_ID,rating
Value Pack Italy,,22: ,4.0
Value Pack Italy,,23: ,4.0
Trial Size Bag (Coloraction promotion),,1270: ,4.0
Kronprins Frederik Ferry,,1660: ,4.0
Surveillance Scooter,"22,$1.99 ,9.0c,Polybag,Retail - limited,Normal",1714: ,4.0
Standard Bricks,,1715: ,4.0
Freestyle Bricks and Plates,,1719: ,4.0
Large Clown Bucket,,1734: ,4.0
Wizard's Cart,,1736: ,4.0
"Standard Bricks, 5+",,1743: ,4.0
Medium Bucket,,1744: ,4.0
"Standard Bricks, 3+",,1745: ,4.0
Wiz the Wizard,"17,$2.50 ,14.7c,Polybag,Retail - limited,Normal",1746: ,4.0
Animals,,1756: ,4.0
Animals,,1758: ,4.0
Parrot,"$0.60 ,8.6c,Polybag,Promotional,Normal",1759: ,4.0
Go-Kart,,1760: ,4.0
Paradisa Speedboat,,1761: ,4.0
Hot Wheels,,1762: ,4.0
Birthday Building Set,,1764: ,4.0
Small Bucket,,1765: ,4.0
Small Freestyle Bucket,,1766: ,4.0
Animals,,1767: ,4.0
Animals,,1768: ,4.0
Crater Critters,"143,$10.00 ,7.0c,Box,Retail - limited,Normal",1785: ,4.0
Jailbreak Joe,,1786: ,4.5
Crater Cruiser,"183,$18.00 ,9.8c,Box,Retail - limited,Normal",1787: ,4.5
Treasure Chest,"159,$22.00 ,13.8c,Box,Retail - limited,Normal",1788: ,4.5
Star Hawk II,"292,$27.00 ,9.2c,Box,Retail - limited,Normal",1789: ,4.5
Space Station Zenon,,1793: ,4.5
Small Bucket,,1805: ,4.5
Santa Claus and Sleigh,"$2.00 ,11.8c,Polybag,Retail - limited,Normal",1807: ,4.5
Safari,,1811: ,4.5
Starter Set,,1814: ,4.5
Large Bucket,"950,$20.00 ,2.1c,Bucket,Retail - limited,Normal",1819: ,4.5
Primo Sample Set,,1820: ,4.5
Sea Claw 7,"$20.00 ,10.4c,Box,Retail - limited,Normal",1822: ,4.5
Animals,,1828: ,4.5
