name,price,set_ID,rating
Downtown Diner,"$169.99, 149.99€ | ,6.9c, 6.0c,Box,LEGO exclusive,USA: Jan 18, UK/EU: Jan 18,Normal",10260: ,4.4
Roller Coaster,"$379.99, 329.99€ | ,9.2c, 8.0c,Box,LEGO exclusive,USA: Jun 18, UK/EU: Jun 18,Normal",10261: ,4.4
James Bond Aston Martin DB5,"$149.99, 149.99€ | ,11.6c, 11.6c,Box,LEGO exclusive,USA: Aug 18, UK/EU: Aug 18,Normal",10262: ,4.4
Winter Village Fire Station,"$99.99, 89.99€ | ,8.6c, 7.7c,Box,Retail - limited,USA: Oct 18, UK/EU: Oct 18,Normal",10263: ,4.4
Vestas Wind Turbine,"$199.99, 179.99€ | ,24.2c, 21.8c,Box,Retail - limited,USA: Nov 18, UK/EU: Nov 18,Normal",10268: ,4.4
Rainbow Fun,"$4.99, 4.99€ | ,5.9c, 5.9c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10401: ,4.4
Fun Future,"$9.99, 9.99€ | ,5.4c, 5.4c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10402: ,4.4
World Fun,"$19.99, 19.99€ | ,6.8c, 6.8c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10403: ,4.4
Ocean's Bottom,"$29.99, 29.99€ | ,5.2c, 5.2c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10404: ,4.4
Mission to Mars,"$59.99, 49.99€ | ,6.9c, 5.7c,Plastic box,Retail,USA: Mar 18, UK/EU: Dec 17,Normal",10405: ,4.4
Bricks and Gears,"$19.99, 19.99€ | ,8.2c, 8.2c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10712: ,4.4
Creative Suitcase,"$19.99, 19.99€ | ,9.4c, 9.4c,Plastic box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10713: ,4.4
Blue Baseplate,"$7.99, 7.99€ | ,799.0c, 799.0c,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10714: ,4.4
Bricks on a Roll,"24.99€ | ,5.7c,Box,Retail,UK/EU: Dec 17,Normal",10715: ,4.4
Extra Large Brick Box,"$59.99, 59.99€ | ,4.0c, 4.0c,Box,Retail - limited,USA: Aug 18, UK/EU: Jun 18,Normal",10717: ,4.4
Emma's Pet Party,"$9.99, 9.99€ | ,14.9c, 14.9c,Box,Retail,USA: Nov 17, UK/EU: Dec 17,Normal",10748: ,4.4
Mia's Organic Food Market,"$19.99, 19.99€ | ,17.4c, 17.4c,Box,Retail,USA: Nov 17, UK/EU: Dec 17,Normal",10749: ,4.4
Road Repair Truck,"$9.99, 9.99€ | ,13.7c, 13.7c,Box,Retail,USA: Nov 17, UK/EU: Dec 17,Normal",10750: ,4.4
Mountain Police Chase,"$19.99, 19.99€ | ,17.4c, 17.4c,Box,Retail,USA: Nov 17, UK/EU: Dec 17,Normal",10751: ,4.4
The Joker Batcave Attack,"$24.99, 29.99€ | ,16.5c, 19.9c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10753: ,4.4
Spider-Man vs. Scorpion Street Showdown,"$19.99, 22.99€ | ,16.0c, 18.4c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10754: ,4.4
Zane's Ninja Boat Pursuit,"$19.99, 19.99€ | ,15.3c, 15.3c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10755: ,4.4
Pteranodon Escape,"$19.99, 22.99€ | ,23.8c, 27.4c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10756: ,4.4
Raptor Rescue Truck,"$24.99, 29.99€ | ,29.4c, 35.3c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10757: ,4.4
T. Rex Breakout,"$49.99, 49.99€ | ,33.3c, 33.3c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10758: ,4.4
Elastigirl's Rooftop Pursuit,"$19.99, 24.99€ | ,21.0c, 26.3c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10759: ,3.5
Underminer's Bank Heist,"$24.99, 29.99€ | ,16.8c, 20.1c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10760: ,3.5
The Great Home Escape,"$29.99, 34.99€ | ,16.8c, 19.7c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10761: ,3.5
Belle's Story Time,"$14.99, 16.99€ | ,17.2c, 19.5c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",10762: ,3.5
Stephanie's Lakeside House,"$34.99, 34.99€ | ,16.3c, 16.3c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",10763: ,3.5
City Central Airport,"$49.99, 49.99€ | ,13.3c, 13.3c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",10764: ,3.5
Ariel's Underwater Concert,"$14.99, 14.99€ | ,16.3c, 16.3c,Box,USA: Aug 18, UK/EU: Jun 18,Normal",10765: ,3.5
My First Puzzle Pets,"$9.99, 9.99€ | ,55.5c, 55.5c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10858: ,3.5
My First Ladybird,"$4.99, 4.99€ | ,83.2c, 83.2c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10859: ,3.5
My First Race Car,"$4.99, 4.99€ | ,83.2c, 83.2c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",10860: ,3.5
My First Emotions,"$19.99, 19.99€ | ,71.4c, 71.4c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10861: ,3.5
My First Celebration,"$14.99, 14.99€ | ,36.6c, 36.6c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10862: ,3.5
My First Animal Brick Box,"$29.99, 29.99€ | ,88.2c, 88.2c,Plastic box,USA: Jan 18, UK/EU: Dec 17,Normal",10863: ,3.5
Large Playground Brick Box,"$49.99, 44.99€ | ,70.4c, 63.4c,Plastic box,USA: Jan 18, UK/EU: Dec 17,Normal",10864: ,3.5
Fun Creations,"$29.99, 24.99€ | ,42.8c, 35.7c,Box with handle,USA: Jan 18, UK/EU: Dec 17,Normal",10865: ,3.5
Farmers' Market,"$19.99, 19.99€ | ,76.9c, 76.9c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10867: ,3.5
Farm Pony Stable,"$29.99, 29.99€ | ,50.8c, 50.8c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10868: ,3.5
Farm Adventures,"$59.99, 59.99€ | ,57.7c, 57.7c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10869: ,3.5
Farm Animals,"$9.99, 9.99€ | ,62.4c, 62.4c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10870: ,3.5
Airport,"$24.99, 24.99€ | ,86.2c, 86.2c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10871: ,3.5
Train Bridge and Tracks,"$24.99, 24.99€ | ,96.1c, 96.1c,Box,USA: Aug 18, UK/EU: Jun 18,Normal",10872: ,3.5
Minnie's Birthday Party,"$19.99, 19.99€ | ,95.2c, 95.2c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",10873: ,3.5
Steam Train,"$59.99, 59.99€ | ,101.7c, 101.7c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",10874: ,3.5
Cargo Train,"$119.99, 119.99€ | ,114.3c, 114.3c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",10875: ,3.5
Spider-Man & Hulk Adventures,"$29.99, 29.99€ | ,78.9c, 78.9c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10876: ,3.5
Belle's Tea Party,"$19.99, 19.99€ | ,105.2c, 105.2c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10877: ,5.0
Rapunzel's Tower,"$29.99, 29.99€ | ,81.1c, 81.1c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",10878: ,5.0
Gentle Giants Petting Zoo,"$19.99, 19.99€ | ,83.3c, 83.3c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10879: ,5.0
T. rex Tower,"$29.99, 29.99€ | ,136.3c, 136.3c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",10880: ,5.0
Mickey's Boat,"$29.99, 29.99€ | ,107.1c, 107.1c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",10881: ,5.0
Train Tracks,"$19.99, 19.99€ | ,86.9c, 86.9c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",10882: ,5.0
NINJAGO Build Your Own Adventure parts,,11915: ,5.0
Animal Atlas parts,,11917: ,5.0
Las Vegas,"487,$39.99 ,8.2c,Box,Retail,Normal",21038: ,5.0
Shanghai,"$59.99, 59.99€ | ,10.0c, 10.0c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21039: ,5.0
Great Wall of China,"$49.99, 49.99€ | ,9.1c, 9.1c,USA: Aug 18, UK/EU: Jun 18,Normal",21041: ,5.0
Statue of Liberty,"$119.99, 99.99€ | ,7.1c, 5.9c,USA: Jun 18, UK/EU: Jun 18,Normal",21042: ,5.0
Las Vegas,"$39.99, 39.99€ | ,8.0c, 8.0c,Box,Retail,USA: Sep 18, UK/EU: Sep 18,Normal",21047: ,5.0
The Melon Farm,"$14.99, 14.99€ | ,21.7c, 21.7c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21138: ,5.0
The Nether Fight,"$14.99, 14.99€ | ,17.8c, 17.8c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21139: ,5.0
The Chicken Coop,"$19.99, 19.99€ | ,10.1c, 10.1c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21140: ,5.0
The Zombie Cave,"$19.99, 19.99€ | ,8.3c, 8.3c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21141: ,5.0
The Polar Igloo,"$29.99, 39.99€ | ,10.8c, 14.4c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21142: ,5.0
The Nether Portal,"$39.99, 49.99€ | ,8.5c, 10.6c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21143: ,5.0
The Farm Cottage ,"$49.99, 59.99€ | ,9.1c, 10.9c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",21144: ,5.0
