,decade,rgb,quantity
0,1940s,0055BF,9.35672514619883
1,1940s,039CBD,2.3391812865497075
2,1940s,1E601E,4.678362573099415
3,1940s,237841,18.71345029239766
4,1940s,4B9F4A,0.5847953216374269
5,1940s,C91A09,20.46783625730994
6,1940s,CA1F08,4.678362573099415
7,1940s,F2CD37,10.526315789473685
8,1940s,F3C305,2.3391812865497075
9,1940s,FFFFFF,26.31578947368421
10,1950s,0020A0,0.12038523274478331
11,1950s,0055BF,12.680577849117174
12,1950s,039CBD,0.16051364365971107
13,1950s,05131D,8.10593900481541
14,1950s,1E601E,0.32102728731942215
15,1950s,237841,2.407704654895666
16,1950s,4C61DB,0.7624398073836276
17,1950s,583927,0.8025682182985554
18,1950s,6D6E5C,0.24077046548956663
19,1950s,9BA19D,3.009630818619583
20,1950s,A5A9B4,0.16051364365971107
21,1950s,AEEFEC,0.04012841091492777
22,1950s,BBA53D,0.04012841091492777
23,1950s,C91A09,24.518459069020867
24,1950s,CA1F08,0.32102728731942215
25,1950s,E4CD9E,0.04012841091492777
26,1950s,F2CD37,11.998394863563403
27,1950s,F3C305,0.16051364365971107
28,1950s,F5CD2F,0.04012841091492777
29,1950s,F8F184,0.04012841091492777
30,1950s,FCFCFC,2.889245585874799
31,1950s,FFFFFF,31.13964686998395
32,1960s,0020A0,0.012992918859221724
33,1960s,0055BF,15.110764633274865
34,1960s,05131D,11.888520756187878
35,1960s,237841,2.228285584356526
36,1960s,4C61DB,0.1559150263106607
37,1960s,583927,0.07146105372571948
38,1960s,6D6E5C,0.05846813486649776
39,1960s,84B68D,0.1559150263106607
40,1960s,9BA19D,9.075553823166373
41,1960s,A5A9B4,0.05846813486649776
42,1960s,B67B50,0.006496459429610862
43,1960s,C2DAB8,0.02598583771844345
44,1960s,C91A09,26.063795231598778
45,1960s,F2CD37,11.498733190411226
46,1960s,F5CD2F,0.22737608003638018
47,1960s,F785B1,0.019489378288832588
48,1960s,FC97AC,0.04547521600727603
49,1960s,FCFCFC,6.639381537062301
50,1960s,FFFFFF,16.656921977522252
51,1970s,0020A0,0.11162271522254778
52,1970s,0055BF,13.858657736849448
53,1970s,05131D,17.336402958001955
54,1970s,237841,2.0161852937072693
55,1970s,3592C3,0.08720524626761546
56,1970s,4B9F4A,0.0034882098507046182
57,1970s,4C61DB,0.06627598716338776
58,1970s,583927,0.33137993581693875
59,1970s,6C6E68,0.0034882098507046182
60,1970s,6D6E5C,0.1325519743267755
61,1970s,84B68D,0.12906376447607087
62,1970s,9BA19D,6.99386075066276
63,1970s,A0A5A9,0.010464629552113856
64,1970s,A5A9B4,0.03488209850704618
65,1970s,A95500,0.010464629552113856
66,1970s,AEEFEC,0.027905678805636946
67,1970s,B67B50,0.010464629552113856
68,1970s,C2DAB8,0.013952839402818473
69,1970s,C91A09,24.04771871075764
70,1970s,D09168,0.010464629552113856
71,1970s,E0E0E0,0.0034882098507046182
72,1970s,F2CD37,14.333054276545276
73,1970s,F5CD2F,0.23022185014650481
74,1970s,F785B1,0.010464629552113856
75,1970s,FC97AC,0.02441746895493233
76,1970s,FCFCFC,4.140505092786382
77,1970s,FFFFFF,16.02134784428631
78,1980s,0020A0,0.3674150211883509
79,1980s,0055BF,11.092327112072851
80,1980s,05131D,22.96681994409882
81,1980s,0A3463,0.00450815976918222
82,1980s,184632,0.00901631953836444
83,1980s,237841,1.7333874312505635
84,1980s,3592C3,0.11946623388332883
85,1980s,3F3691,0.01803263907672888
86,1980s,4B9F4A,0.01127039942295555
87,1980s,4C61DB,0.0450815976918222
88,1980s,575857,0.020286718961319988
89,1980s,582A12,0.00225407988459111
90,1980s,583927,1.248760256063475
91,1980s,5A93DB,0.020286718961319988
92,1980s,6C6E68,0.07213055630691552
93,1980s,6D6E5C,0.6897484446848796
94,1980s,720E0F,0.01803263907672888
95,1980s,84B68D,0.30430078441979985
96,1980s,898788,0.01127039942295555
97,1980s,958A73,0.0067622396537733295
98,1980s,9BA19D,11.935352988909926
99,1980s,9FC3E9,0.00450815976918222
100,1980s,A0A5A9,0.03606527815345776
101,1980s,A5A9B4,0.02479487873050221
102,1980s,A95500,0.020286718961319988
103,1980s,AA7F2E,0.01127039942295555
104,1980s,AEEFEC,0.28401406545847985
105,1980s,B67B50,0.08340095572987107
106,1980s,BBA53D,0.11946623388332883
107,1980s,BBE90B,0.03606527815345776
108,1980s,C870A0,0.00225407988459111
109,1980s,C91A09,18.061942115228565
110,1980s,D09168,0.02479487873050221
111,1980s,D4D5C9,0.00225407988459111
112,1980s,E4CD9E,0.02930303849968443
113,1980s,EF9121,0.00225407988459111
114,1980s,F2CD37,12.476332161211793
115,1980s,F5CD2F,0.8452799567216662
116,1980s,F8F184,0.05635199711477775
117,1980s,FA9C1C,0.04282751780723109
118,1980s,FCFCFC,1.8505995852493011
119,1980s,FE8A18,0.00901631953836444
120,1980s,FF800D,0.00450815976918222
121,1980s,FFA70B,0.00225407988459111
122,1980s,FFFFFF,15.273645297989361
123,1990s,0020A0,0.5723423026025585
124,1990s,0055BF,7.761358623731804
125,1990s,008F9B,0.21063078958976622
126,1990s,05131D,23.34472871636524
127,1990s,0A3463,0.00882223202470225
128,1990s,184632,0.0022055580061755625
129,1990s,237841,3.3193647992942212
130,1990s,3592C3,0.058447287163652405
131,1990s,3CB371,0.0022055580061755625
