,set_num,complete_percent,name,year,theme_id,num_parts,true_set
7,e1a1401-1,100.0,MUJI Basic Set,2011,301,64,t
10,10106-1,100.0,Snowflake,2006,227,107,t
17,comcon026-1,100.0,Kraang - New York Comic-Con 2012 Exclusive,2012,570,1,t
19,LLCAPUM2-1,100.0,Build N Buy Pumpkin (Sad) (Legoland California),2002,427,29,t
22,4659597-1,100.0,Friends - Bracelets,2012,501,4,t
26,40219-1,100.0,Monthly Mini Model Build December 2016 - Christmas Present,2016,409,55,t
31,970-2,100.0,47 1/3 elements (plates),1969,371,141,t
47,fruit1-1,100.0,Apple - Hong Kong Lego Show Promotional,2007,33,8,t
50,WHITEHOUSE-1,100.0,Micro White House,2015,598,59,t
51,421-2,100.0,2 eights 2 sixes 2 fours 8 twos 6 ones (The Building Toy),1966,371,20,t
56,1176-1,100.0,Gear Racks and Turntables,1978,453,6,t
61,850635-1,100.0,Darth Vader Magnet,2013,501,2,t
62,5000062-1,100.0,Darth Maul,2012,178,3,t
64,911730-1,100.0,Y-Wing,2017,158,60,t
66,40104-1,100.0,Monthly Mini Model October 2014 - Monster,2014,409,36,t
67,40105-1,100.0,Monthly Mini Model Build December 2014 - Gingerbread House,2014,409,54,t
68,627-1,100.0,"Baseplate, Blue",1996,473,1,t
69,853564-1,100.0,Me and My Dragon,2016,501,3,t
70,626-1,100.0,"Baseplate, Green",1996,473,1,t
71,850673-1,100.0,Iron Man Magnet,2013,501,3,t
73,BauMit-1,100.0,BAU MIT!,2009,301,1,t
74,2722-1,100.0,Ship,2000,468,12,t
75,853213-1,100.0,Drink Tumbler,2012,501,9,t
76,850808-1,100.0,Gold 2x4 Stud Key Chain,2013,503,1,t
78,7175-1,100.0,Grapes,2007,22,10,t
79,7176-1,100.0,Watermelon - Capespan Promotional,2007,33,21,t
80,7177-1,100.0,Orange,2007,22,8,t
81,9962-1,100.0,Flat Tiles,1994,524,12,t
83,5002112-1,100.0,Bracelets,2014,494,18,t
86,850597-1,100.0,Friends Carry Case,2013,501,31,t
87,840-1,100.0,"Baseplate, Green",1980,473,1,t
88,991402-1,100.0,Studless Technic Beams,2008,525,35,t
91,Frankfurt-1,100.0,"LEGO Store Grand Opening Exclusive Set, MyZeil, Frankfurt, Germany",2009,408,157,t
92,Edmonton-1,100.0,"LEGO Store Grand Opening Exclusive Set, Southgate Mall, Edmonton,  AB, Canada",2013,408,3,t
95,2139-1,100.0,Sabah Promotional Set: Steam Liner,1996,468,12,t
97,3492-1,100.0,2 x 2 Black Smooth Tiles,2000,254,100,t
98,3493-1,100.0,2 x 2 White Smooth Tiles,2000,254,100,t
99,3494-1,100.0,2 x 2 Red Smooth Tiles,2000,254,100,t
