name,price,set_ID,rating,price_USD,year
2 X 8 Bricks,"9,$0.50 ,5.6c,Box,Retail,Normal","""215""",4.0,0.5,1961
4 x 4 Corner Bricks,"10,$0.50 ,5.0c,Box,Retail,Normal","""217""",4.0,0.5,1961
2 x 4 Bricks,"20,$0.50 ,2.5c,Box,Retail,Normal","""218""",4.0,0.5,1961
2 X 3 Bricks,"24,$0.50 ,2.1c,Box,Retail,Normal","""219""",4.0,0.5,1961
2 X 2 Bricks,"33,$0.50 ,1.5c,Box,Retail,Normal","""220""",4.0,0.5,1961
1 X 2 Bricks,"45,$0.50 ,1.1c,Box,Retail,Normal","""221""",4.0,0.5,1961
1 x 1 Bricks,"40,$0.50 ,1.3c,Box,Retail,Normal","""222""",4.0,0.5,1961
1 x 1 Round Bricks,"62,$0.50 ,0.8c,Box,Retail,Normal","""223""",4.0,0.5,1961
Bricks Curved,"33,$0.50 ,1.5c,Box,Retail,Normal","""224""",4.0,0.5,1961
1 X 8 & 1 X 6 Named Beams,"10,$0.50 ,5.0c,Box,Retail,Normal","""226""",4.0,0.5,1961
4 X 8 Plates,"10,$0.50 ,5.0c,Box,Retail,Normal","""228""",4.0,0.5,1961
Trees and Bushes,"12,$0.50 ,4.2c,Box,Retail,Normal","""230""",4.0,0.5,1961
Esso Stations (Pumps and Sign),"2,$0.50 ,25.0c,Box,Retail,Normal","""231""",4.0,0.5,1961
Road Signs,"15,$0.50 ,3.3c,Box,Retail,Normal","""232""",4.0,0.5,1961
Street Lamps,"9,$0.50 ,5.6c,Box,Retail,Normal","""233""",4.0,0.5,1961
Lettered Bricks,"35,$0.50 ,1.4c,Box,Retail,Normal","""234""",4.0,0.5,1961
Garage Plate and Door (White Base and Door Frame),"3,$0.50 ,16.7c,Box,Retail,Normal","""235""",4.0,0.5,1961
Numbered Bricks,"35,$0.50 ,1.4c,Box,Retail,Normal","""237""",4.0,0.5,1961
International Flags,"7,$0.50 ,7.1c,Box,Retail,Normal","""242""",4.0,0.5,1961
Lighting Device Pack,"3,$0.50 ,16.7c,Box,Retail,Normal","""245""",4.0,0.5,1961
LEGO Town Plan Board,"$1.50 ,Normal","""246""",4.0,1.5,1961
Small Wheels with Axles ,"12,$0.75 ,6.3c,Box,Retail,Normal","""400""",3.0,0.75,1961
2 X 4 Plate (Flat Roof Bricks with 8 Studs),"24,$0.50 ,2.1c,Box,Retail,Normal","""518""",3.0,0.5,1961
2 X 3 Plate (Flat Roof Bricks with 6 Studs),"30,$0.50 ,1.7c,Box,Retail,Normal","""519""",3.0,0.5,1961
2 X 2 Plate (Flat Roof Bricks with 4 Studs),"40,$0.50 ,1.3c,Box,Retail,Normal","""520""",3.0,0.5,1961
10 X 20 Large Base Plate ,"2,$0.50 ,25.0c,Retail,Normal","""700""",3.0,0.5,1961
Small Basic Set,"$1.95 ,Box,Retail,Normal","""702""",3.0,1.95,1961
Small Basic Set,"$2.95 ,Box,Retail,Normal","""703""",3.0,2.95,1961
Small Basic Set (Flat Box),"$4.95 ,Box,Retail,Normal","""705""",3.0,4.95,1961
Medium Basic Set (Flat Box),"$7.95 ,Box,Retail,Normal","""708""",3.0,7.95,1961
Large Basic Set (Flat Box),"$10.95 ,Box,Retail,Normal","""711""",3.0,10.95,1961
Junior Constructor,"510,$16.95 ,3.3c,Box,Retail,Normal","""717""",3.0,16.95,1961
Town Plan,"711,$25.00 ,3.5c,Box,Retail,Normal","""725""",3.0,25.0,1961
Deluxe Building Set ,"450,$10.95 ,2.4c,Box,Retail,Normal","""450""",,10.95,1963
Samsonite Gift Set,"615,$14.95 ,2.4c,Box,Retail,Normal","""615""",,14.95,1963
Medium Basic Set (tall box),"$4.95 ,Box,Retail,Normal","""705""",,4.95,1963
Samsonite Large Educational Set,"3250,$100.00 ,3.1c,Wooden box,Educational,Normal","""7100""",,100.0,1963
Pre-School Beginners Set,"24,$4.95 ,20.6c,Box,Normal","""041""",,4.95,1964
"Baseplate, Gray","$1.50 ,Retail,Normal","""799""",,1.5,1964
Space Rocket,"115,$0.98 ,0.9c,Blister pack,Retail,Normal","""801""",,0.98,1964
Player Piano,"90,$0.98 ,1.1c,Blister pack,Retail,Normal","""802""",,0.98,1964
Seesaw,"47,$0.98 ,2.1c,Blister pack,Retail,Normal","""803""",,0.98,1964
Building Crane,"64,$0.98 ,1.5c,Blister pack,Retail,Normal","""804""",,0.98,1964
3 Little Indians,"89,$0.98 ,1.1c,Blister pack,Retail,Normal","""805""",,0.98,1964
Cowboy & Pony,"87,$0.98 ,1.1c,Blister pack,Retail,Normal","""806""",,0.98,1964
Gears,"43,$4.95 ,11.5c,Box,Retail,Normal","""001""",,4.95,1965
4.5V Samsonite Gears Motor Set,"3,$4.95 ,165.0c,Box,Normal","""002""",,4.95,1965
Super Wheel Toy Set (tall box version),"$9.95 ,Box,Retail,Normal","""610""",,9.95,1965
Master Mechanic Set,"418,$17.95 ,4.3c,Box,Retail,Normal","""003""",4.0,17.95,1966
Master Builder Set,"670,$19.95 ,3.0c,Box,Retail,Normal","""004""",4.0,19.95,1966
Wheel Set,"185,$4.95 ,2.7c,Box,Retail,Normal","""021""",4.0,4.95,1966
Jumbo Brick Pull Toy,"6,$3.50 ,58.3c,Box,Retail,Normal","""042""",4.0,3.5,1966
Assorted basic bricks - Red,"50,$1.00 ,2.0c,Box,Retail,Normal","""051""",4.0,1.0,1966
Assorted basic bricks - White,"50,$1.00 ,2.0c,Box,Retail,Normal","""052""",4.0,1.0,1966
Assorted basic bricks - Blue,"50,$1.00 ,2.0c,Box,Retail,Normal","""053""",4.0,1.0,1966
Assorted basic bricks - Yellow,"50,$1.00 ,2.0c,Normal","""054""",4.0,1.0,1966
Trees & Bushes,"25,$1.00 ,4.0c,Box,Retail,Normal","""055""",4.0,1.0,1966
Windows & Doors,"27,$1.50 ,5.6c,Box,Retail,Normal","""056""",4.0,1.5,1966
Large Wheels,"17,$1.50 ,8.8c,Box,Retail,Normal","""057""",4.0,1.5,1966
Small wheels,"26,$1.50 ,5.8c,Box,Retail,Normal","""058""",4.0,1.5,1966
Red Roof Bricks Pack,"50,$1.00 ,2.0c,Box,Retail,Normal","""059""",4.0,1.0,1966
Assorted White Plates Pack,"15,$1.00 ,6.7c,Box,Retail,Normal","""060""",4.0,1.0,1966
5 - 10X20 base plates - Green,"5,$1.00 ,20.0c,Shrink-wrapped,Retail,Normal","""061""",4.0,1.0,1966
5 - 10X20 base plates - White,"5,$1.00 ,20.0c,Shrink-wrapped,Retail,Normal","""062""",4.0,1.0,1966
5 - 10X20 base plates - Blue,"5,$1.00 ,20.0c,Shrink-wrapped,Retail,Normal","""063""",4.0,1.0,1966
Gift Set,"99,$2.95 ,3.0c,Box,Normal","""99""",4.0,2.95,1966
Small Basic Set,"120,$2.95 ,2.5c,Box,Retail,Normal","""120""",5.0,2.95,1966
Straight Track,"28,$2.00 ,7.1c,Normal","""150""",5.0,2.0,1966
Curved Track,"28,$2.00 ,7.1c,Box,Retail,Normal","""151""",5.0,2.0,1966
Small Basic Set,"205,$4.95 ,2.4c,Box,Retail,Normal","""205""",5.0,4.95,1966
Medium Basic Set,"285,$6.95 ,2.4c,Box,Retail,Normal","""285""",5.0,6.95,1966
Wheel Toy Set,"301,$6.22 ,2.1c,Box,Normal","""301""",5.0,6.22,1966
Deluxe Basic Set,"375,$8.95 ,2.4c,Box,Retail,Normal","""375""",5.0,8.95,1966
Master Discovery Set,"704,$25.00 ,3.6c,Box,Normal","""704""",,25.0,1966
Promotional Set No. 1 (Kraft Velveeta),"74,$1.00 ,1.4c,Box,Promotional,Normal","""1""",3.0,1.0,1967
Promotional Set No. 2 (Kraft Velveeta),"141,$2.00 ,1.4c,Box,Promotional,Normal","""2""",3.0,2.0,1967
Promotional Set No. 3 (Kraft Velveeta),"300,$5.00 ,1.7c,Box,Promotional,Normal","""3""",3.0,5.0,1967
Promotional Set No. 4 with Carrying Case (Kraft Velveeta),"321,$10.00 ,3.1c,Box,Promotional,Normal","""4""",3.0,10.0,1967
Promotional Set No. 5 (Kraft Velveeta),"156,$2.00 ,1.3c,Box,Promotional,Normal","""5""",3.0,2.0,1967
Discovery Set,"328,$9.95 ,3.0c,Box,Retail - limited,Normal","""005""",3.0,9.95,1967
Promotional Set No. 6 (Kraft Velveeta),"101,$2.00 ,2.0c,Box,LEGO exclusive,Normal","""6""",3.0,2.0,1967
Promotional Set No. 7 Carrying Case (Kraft Velveeta),"1,$3.75 ,375.0c,Box,Promotional,Normal","""7""",3.0,3.75,1967
Ambassador Set,"562,$25.00 ,4.4c,Box,Retail - limited,Normal","""080""",3.0,25.0,1967
Switch Track - 1 Right and 1 Left,"4,$2.00 ,50.0c,Normal","""154""",3.0,2.0,1967
"2 Cross Rails, 8 Straight Tracks, 4 Base Plates","14,$2.00 ,14.3c,Normal","""155""",3.0,2.0,1967
Explorer Set,"244,$4.97 ,2.0c,Box,Retail,Normal","""244""",3.0,4.97,1967
Motorized Truck Set,"325,$12.99 ,4.0c,Box,Retail - limited,Normal","""371""",3.0,12.99,1967
Designer Set,"536,$9.99 ,1.9c,Box,Retail - limited,Normal","""536""",,9.99,1967
Governor Set,"387,$12.95 ,3.3c,Box,Retail - limited,Normal","""066""",,12.95,1968
Motorized Train Set,"402,$16.99 ,4.2c,Box,Retail,Normal","""113""",,16.99,1968
Deluxe Motorized Train Set,"360,$20.00 ,5.6c,Box,Normal","""116""",,20.0,1968
Small Train Set,"451,$19.99 ,4.4c,Box,Normal","""118""",,19.99,1968
