name,price,set_ID,rating,price_USD,year,Index_19,price_adjust,pcs_num,price_per_pcs,ppp_nominal
2 X 8 Bricks,"9,$0.50 ,5.6c,Box,Retail,Normal","""215""",4.0,0.5,1961,8.494824145811268,4.25,9.0,0.47,0.06
4 x 4 Corner Bricks,"10,$0.50 ,5.0c,Box,Retail,Normal","""217""",4.0,0.5,1961,8.494824145811268,4.25,10.0,0.42,0.05
2 x 4 Bricks,"20,$0.50 ,2.5c,Box,Retail,Normal","""218""",4.0,0.5,1961,8.494824145811268,4.25,20.0,0.21,0.03
2 X 3 Bricks,"24,$0.50 ,2.1c,Box,Retail,Normal","""219""",4.0,0.5,1961,8.494824145811268,4.25,24.0,0.18,0.02
2 X 2 Bricks,"33,$0.50 ,1.5c,Box,Retail,Normal","""220""",4.0,0.5,1961,8.494824145811268,4.25,33.0,0.13,0.02
1 X 2 Bricks,"45,$0.50 ,1.1c,Box,Retail,Normal","""221""",4.0,0.5,1961,8.494824145811268,4.25,45.0,0.09,0.01
1 x 1 Bricks,"40,$0.50 ,1.3c,Box,Retail,Normal","""222""",4.0,0.5,1961,8.494824145811268,4.25,40.0,0.11,0.01
1 x 1 Round Bricks,"62,$0.50 ,0.8c,Box,Retail,Normal","""223""",4.0,0.5,1961,8.494824145811268,4.25,62.0,0.07,0.01
Bricks Curved,"33,$0.50 ,1.5c,Box,Retail,Normal","""224""",4.0,0.5,1961,8.494824145811268,4.25,33.0,0.13,0.02
1 X 8 & 1 X 6 Named Beams,"10,$0.50 ,5.0c,Box,Retail,Normal","""226""",4.0,0.5,1961,8.494824145811268,4.25,10.0,0.42,0.05
4 X 8 Plates,"10,$0.50 ,5.0c,Box,Retail,Normal","""228""",4.0,0.5,1961,8.494824145811268,4.25,10.0,0.42,0.05
Trees and Bushes,"12,$0.50 ,4.2c,Box,Retail,Normal","""230""",4.0,0.5,1961,8.494824145811268,4.25,12.0,0.35,0.04
Esso Stations (Pumps and Sign),"2,$0.50 ,25.0c,Box,Retail,Normal","""231""",4.0,0.5,1961,8.494824145811268,4.25,2.0,2.12,0.25
Road Signs,"15,$0.50 ,3.3c,Box,Retail,Normal","""232""",4.0,0.5,1961,8.494824145811268,4.25,15.0,0.28,0.03
Street Lamps,"9,$0.50 ,5.6c,Box,Retail,Normal","""233""",4.0,0.5,1961,8.494824145811268,4.25,9.0,0.47,0.06
Lettered Bricks,"35,$0.50 ,1.4c,Box,Retail,Normal","""234""",4.0,0.5,1961,8.494824145811268,4.25,35.0,0.12,0.01
Garage Plate and Door (White Base and Door Frame),"3,$0.50 ,16.7c,Box,Retail,Normal","""235""",4.0,0.5,1961,8.494824145811268,4.25,3.0,1.42,0.17
Numbered Bricks,"35,$0.50 ,1.4c,Box,Retail,Normal","""237""",4.0,0.5,1961,8.494824145811268,4.25,35.0,0.12,0.01
International Flags,"7,$0.50 ,7.1c,Box,Retail,Normal","""242""",4.0,0.5,1961,8.494824145811268,4.25,7.0,0.61,0.07
Lighting Device Pack,"3,$0.50 ,16.7c,Box,Retail,Normal","""245""",4.0,0.5,1961,8.494824145811268,4.25,3.0,1.42,0.17
LEGO Town Plan Board,"$1.50 ,Normal","""246""",4.0,1.5,1961,8.494824145811268,12.74,,,
Small Wheels with Axles ,"12,$0.75 ,6.3c,Box,Retail,Normal","""400""",3.0,0.75,1961,8.494824145811268,6.37,12.0,0.53,0.06
2 X 4 Plate (Flat Roof Bricks with 8 Studs),"24,$0.50 ,2.1c,Box,Retail,Normal","""518""",3.0,0.5,1961,8.494824145811268,4.25,24.0,0.18,0.02
2 X 3 Plate (Flat Roof Bricks with 6 Studs),"30,$0.50 ,1.7c,Box,Retail,Normal","""519""",3.0,0.5,1961,8.494824145811268,4.25,30.0,0.14,0.02
2 X 2 Plate (Flat Roof Bricks with 4 Studs),"40,$0.50 ,1.3c,Box,Retail,Normal","""520""",3.0,0.5,1961,8.494824145811268,4.25,40.0,0.11,0.01
10 X 20 Large Base Plate ,"2,$0.50 ,25.0c,Retail,Normal","""700""",3.0,0.5,1961,8.494824145811268,4.25,2.0,2.12,0.25
Small Basic Set,"$1.95 ,Box,Retail,Normal","""702""",3.0,1.95,1961,8.494824145811268,16.56,,,
Small Basic Set,"$2.95 ,Box,Retail,Normal","""703""",3.0,2.95,1961,8.494824145811268,25.06,,,
